id,name,full_name,position_code,position,club,value,team_trg,avg_assists_per_game,avg_clean_sheet,avg_goals_against,avg_goals_scored,avg_own_goals,avg_red_cards_,avg_saves,avg_successful_tackles,avg_yellow_cards,current_value,gameweek_1_points,gameweek_2_points,gameweek_3_points,matches_played,player_id,total_assists_per_game,total_clean_sheet,total_goals_against,total_goals_scored,total_own_goals,total_red_cards_,total_saves,total_successful_tackles,total_yellow_cards,total_points,position_cat,is_captain,base_points,adjusted_points,role,adjusted_points_ss_off,adjusted_points_ss_on,is_supersub
757,K. Schmeichel,Kasper Schmeichel,lib_gardien,GK,Celtic,5.5,CEL,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.5,6.0,6.0,6.0,3,757,0,3.0,0.0,0,0,0,6.0,0,0,6.0,GK,False,6.0,6.0,XI,6.0,6.0,
566,S. Findlay,Stuart Findlay,lib_defenseur,DEF,Heart of Midlothian,6.9,HEA,0.0,0.3,1.7,1.0,0.0,0.0,,0.7,0.3,6.9,20.0,27.0,-2.0,3,566,0,1.0,5.0,3,0,0,,2,1,11.33,DEF,False,11.33,11.33,XI,11.33,11.33,
889,H. Milne,Harry Milne,lib_defenseur,DEF,Heart of Midlothian,4.7,HEA,0.3,0.3,1.7,0.3,0.0,0.0,,3.0,0.7,4.7,7.0,6.0,14.0,3,889,1,1.0,5.0,1,0,0,,9,2,10.17,DEF,False,10.17,10.17,XI,10.17,10.17,
689,R. Astley,Ryan Astley,lib_defenseur,DEF,Dundee,4.8,DUN,0.0,0.3,1.0,0.3,0.0,0.0,,2.0,0.0,4.8,3.0,15.0,4.0,3,689,0,1.0,3.0,1,0,0,,6,0,7.5,DEF,False,7.5,7.5,XI,7.5,7.5,
789,B. Brannan,Ben Brannan,lib_defenseur,DEF,Kilmarnock,4.3,KIL,0.0,0.3,1.3,0.3,0.0,0.0,,2.0,0.3,4.3,0.0,15.0,5.0,3,789,0,1.0,4.0,1,0,0,,6,1,7.5,DEF,False,7.5,7.5,XI,7.5,7.5,
997,E. Just,Elijah Just,lib_milieu,MID,Motherwell,4.9,MOT,1.0,0.3,,0.0,0.0,0.0,,0.7,0.0,4.9,7.0,2.0,12.0,3,997,3,1.0,,0,0,0,,2,0,7.83,MID,False,7.83,7.83,XI,7.83,7.83,
815,T. Maswanhise,Tawanda Maswanhise,lib_milieu,MID,Motherwell,7.2,MOT,0.0,0.3,,0.3,0.0,0.0,,1.0,0.0,7.2,1.0,2.0,13.0,3,815,0,1.0,,1,0,0,,3,0,7.33,MID,False,7.33,7.33,XI,7.33,7.33,
190,S. Pittman,Scott Pittman,lib_milieu,MID,Livingston,5.1,LIV,0.0,0.0,,0.7,0.0,0.0,,0.7,0.0,5.1,12.0,13.0,1.0,3,190,0,0.0,,2,0,0,,2,0,6.83,MID,False,6.83,6.83,XI,6.83,6.83,
949,B. Nygren,Benjamin Nygren,lib_attaquant,FWD,Celtic,9.4,CEL,0.3,,,1.0,0.0,0.0,,1.0,0.0,9.4,0.0,16.0,23.0,3,949,1,,,3,0,0,,3,0,33.67,FWD,True,16.83,33.67,XI (C),33.67,33.67,
961,C. Braga,Cláudio Braga,lib_attaquant,FWD,Heart of Midlothian,5.7,HEA,0.0,,,0.7,0.0,0.0,,0.7,0.3,5.7,1.0,0.0,20.0,3,961,0,,,2,0,0,,2,1,10.17,FWD,False,10.17,10.17,XI,10.17,10.17,
1003,I. Dolcek,Ivan Dolcek,lib_attaquant,FWD,Dundee United,6.8,UTD,0.0,,,1.5,0.0,0.0,,1.5,0.0,6.8,11.0,22.0,0.0,2,1003,0,,,3,0,0,,3,0,9.17,FWD,False,9.17,9.17,XI,9.17,9.17,
241,J. Tavernier,James Tavernier,lib_defenseur,DEF,Rangers,11.6,RAN,0.0,0.0,1.0,0.7,0.0,0.0,,0.3,0.3,11.6,14.0,14.0,-1.0,3,241,0,0.0,3.0,2,0,0,,1,1,6.5,DEF,,6.5,,SUB (SS),3.25,19.5,True
346,J. Ayunga,Jonah Ayunga,lib_attaquant,FWD,St. Mirren,5.7,STM,0.0,,,0.3,0.0,0.0,,0.3,0.0,5.7,0.0,0.0,11.0,3,346,0,,,1,0,0,,1,0,5.5,FWD,,5.5,,SUB,2.75,2.75,False
541,J. McCracken,Jon McCracken,lib_gardien,GK,Dundee,3.4,DUN,0.0,0.3,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.4,1.0,3.0,9.0,3,541,0,1.0,3.0,0,0,0,12.0,0,0,5.67,GK,,5.67,,SUB,2.83,2.83,False
778,F. Curtis,Findlay Curtis,lib_milieu,MID,Rangers,4.6,RAN,0.0,0.0,,0.5,0.0,0.0,,0.5,0.0,4.6,0.0,0.0,13.0,2,778,0,0.0,,1,0,0,,1,0,6.5,MID,,6.5,,SUB,3.25,3.25,False
