avg_assists_per_game,avg_clean_sheet,avg_goals_against,avg_goals_scored,avg_own_goals,avg_red_cards_,avg_saves,avg_successful_tackles,avg_yellow_cards,current_value,gameweek_1_points,gameweek_2_points,gameweek_3_points,matches_played,player_id,total_assists_per_game,total_clean_sheet,total_goals_against,total_goals_scored,total_own_goals,total_red_cards_,total_saves,total_successful_tackles,total_yellow_cards
0.7,,,0.0,0.0,0.0,,1.0,0.0,12.3,8.00,0.00,7.00,3,62,2,,,0,0,0,,3,0
0.0,0.0,1.0,0.7,0.0,0.0,,0.3,0.3,11.6,14.00,14.00,-1.00,3,241,0,0,3,2,0,0,,1,1
0.0,1.0,,0.3,0.0,0.0,,0.0,0.0,10.9,13.00,1.00,1.00,3,552,0,3,,1,0,0,,0,0
0.0,1.0,0.0,0.0,0.0,0.0,,2.5,0.0,10.7,7.00,6.00,0.00,2,479,0,2,0,0,0,0,,5,0
0.0,1.0,,0.0,0.0,0.0,,0.7,0.3,10.1,0.00,1.00,3.00,3,824,0,3,,0,0,0,,2,1
0.3,0.0,,0.0,0.0,0.0,,2.3,0.3,10.1,1.00,4.00,7.00,3,514,1,0,,0,0,0,,7,1
0.0,1.0,,0.5,0.0,0.0,,0.0,0.5,9.9,1.00,12.00,0.00,2,50,0,2,,1,0,0,,0,1
0.3,,,1.0,0.0,0.0,,1.0,0.0,9.4,0.00,16.00,23.00,3,949,1,,,3,0,0,,3,0
0.5,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.2,4.00,10.00,0.00,2,947,1,2,0,0,0,0,,0,0
0.0,,,0.0,0.0,0.0,,0.0,0.5,9.2,0.00,-1.00,0.00,2,579,0,,,0,0,0,,0,1
-,-,,-,-,-,,-,-,8.8,0.00,0.00,,0,808,0,0,,0,0,0,,0,0
0.0,0.0,,0.0,0.0,0.0,,0.7,0.0,8.8,0.00,1.00,1.00,3,706,0,0,,0,0,0,,2,0
-,,,-,-,-,,-,-,8.7,0.00,0.00,0.00,0,782,0,,,0,0,0,,0,0
